Age,Annual_Income,CIBIL_Score,Home_Ownership,Employment_Length,Loan_Intent,Loan_Amount,Loan_Status,Outstanding_Debts,Average_Monthly_Expenditure,Frequency_of_Card_Usage,Bill_Payment_Timeliness,Late_Payment_Penalties,Number_of_Missed_Payments,ATM_Withdrawal_Frequency,Preferred_Payment_Method,Insurance_Coverage,Financial_Literacy_Level,Number_of_Credit_Cards_Owned,Number_of_Bank_Accounts,Risk_Appetite,Savings_Habits,Venmo Visa Credit Card,Synchrony Premier World Mastercard,CareCredit Credit Card,PayPal Cashback World Mastercard,Ashley Advantage Credit Card,Synchrony HOME Credit Card,Synchrony Car Care Credit Card,Verizon Visa Card
26,705765,645,Own,6,Personal,332683,Defaulted,312689,22368,19,On Time,0,2,11,UPI,1,High,3,9,High,Poor,0,0,0,0,0,0,0,0
42,2045543,404,Rent,12,Personal,846706,Defaulted,353952,53524,39,Late,0,5,8,Debit Card,1,Low,2,3,High,Good,0,0,0,0,0,0,0,0
57,1135448,612,Rent,6,Education,543528,Paid,407747,76651,39,Late,1,6,13,Debit Card,0,Low,3,7,High,Average,0,0,0,0,0,0,0,0
31,835765,385,Rent,34,Education,495991,Paid,213406,14401,21,Late,1,6,0,Cash,0,High,2,6,Medium,Average,0,0,0,0,0,0,0,0
42,400772,740,Own,5,Home,634473,Paid,199462,116120,44,Late,1,2,2,Credit Card,1,High,4,8,High,Average,0,0,0,1,1,1,0,1
67,2785926,779,Rent,21,Car,639205,Paid,123506,118783,38,Late,1,3,18,UPI,0,High,2,9,Medium,Poor,0,1,0,0,0,0,1,0
39,474582,627,Rent,13,Car,761178,Defaulted,405614,79606,9,On Time,0,6,12,Cash,0,High,3,4,High,Good,0,0,0,0,0,0,1,0
69,2623640,550,Rent,20,Home,676954,Defaulted,258244,86813,27,On Time,0,5,2,UPI,0,High,1,1,High,Poor,0,0,0,0,0,0,0,0
47,419712,781,Rent,17,Credit Card,369991,Defaulted,137929,128072,25,On Time,0,1,18,Credit Card,1,Low,2,2,High,Good,0,0,0,1,0,0,0,1
37,1175509,303,Rent,28,Credit Card,981693,Defaulted,332112,145414,14,Late,0,7,12,Credit Card,1,Medium,3,8,Low,Good,0,0,0,0,0,0,0,1
38,2367540,483,Own,25,Education,195713,Defaulted,182608,73207,23,Late,1,2,6,Credit Card,0,Low,1,6,High,Poor,0,0,0,1,0,1,0,1
61,2620379,599,Rent,27,Home,535862,Defaulted,485437,106669,22,On Time,0,2,11,Debit Card,0,Medium,1,6,Medium,Average,0,0,0,0,0,0,0,0
49,1897229,827,Rent,10,Personal,383117,Defaulted,425104,127497,30,Late,1,1,19,Debit Card,1,High,1,3,High,Average,0,1,0,0,0,0,0,0
68,1191072,455,Own,16,Personal,707876,Defaulted,75389,34961,15,On Time,0,9,1,UPI,0,Medium,1,1,Low,Good,0,0,0,0,0,0,0,0
63,1459459,733,Own,11,Personal,589820,Paid,368034,74373,37,On Time,0,3,9,Credit Card,0,Medium,1,2,High,Good,0,0,0,1,0,1,0,1
66,349865,656,Own,27,Credit Card,277288,Defaulted,212297,74880,38,Late,1,2,7,Cash,0,Low,2,1,Low,Average,0,0,0,0,0,1,0,0
38,1464102,827,Rent,23,Education,249343,Defaulted,119208,67759,21,Late,0,2,17,UPI,1,High,2,3,Low,Poor,0,1,0,0,0,0,0,0
52,2368287,340,Own,30,Car,716995,Defaulted,128151,50563,46,On Time,0,0,6,UPI,0,Medium,4,8,Medium,Average,0,0,0,0,0,1,1,0
49,1917376,557,Rent,28,Personal,819202,Paid,274270,25321,2,Late,1,4,10,UPI,1,High,3,2,Low,Good,0,0,0,0,0,0,0,0
47,1620064,665,Rent,4,Home,77545,Paid,212710,53538,36,On Time,1,2,11,Cash,0,Low,2,1,High,Good,0,0,0,0,0,0,0,0
56,1559898,854,Own,34,Credit Card,88619,Paid,81270,89654,12,Late,0,5,15,UPI,0,High,1,6,Medium,Good,0,0,0,0,0,1,0,0
66,2498921,365,Own,12,Education,718792,Defaulted,232925,83652,34,Late,0,5,15,Cash,0,High,1,8,Medium,Average,0,0,0,0,0,1,0,0
29,2771846,507,Own,8,Home,268744,Paid,54479,128709,9,Late,0,8,17,Cash,0,Low,3,9,Low,Good,0,0,0,0,1,1,0,0
58,579928,544,Rent,30,Personal,690652,Defaulted,203050,105803,23,On Time,0,1,18,Credit Card,0,Medium,4,2,Low,Good,0,0,0,1,0,0,0,1
64,1680161,542,Rent,22,Home,969318,Paid,364157,81882,23,Late,0,7,8,Debit Card,0,Medium,3,6,Low,Average,0,0,0,0,0,0,0,0
35,869544,888,Rent,15,Credit Card,291617,Defaulted,222482,118000,19,Late,0,4,18,UPI,1,Low,3,6,Medium,Good,0,0,0,0,0,0,0,0
38,2889923,680,Rent,19,Education,123055,Paid,394950,117399,4,On Time,1,2,18,Credit Card,0,Low,3,7,Low,Average,0,0,0,0,0,0,0,0
30,1488459,522,Own,7,Education,445260,Defaulted,492768,70040,10,Late,1,9,18,Credit Card,0,Medium,4,3,High,Poor,0,0,0,0,0,1,0,0
38,1713566,320,Rent,16,Home,861224,Defaulted,28926,6493,17,Late,0,1,12,UPI,1,High,3,4,Medium,Average,0,0,0,0,0,0,0,0
25,2678474,446,Rent,18,Home,287214,Defaulted,3464,115449,24,On Time,1,5,15,Credit Card,1,Low,4,7,Low,Good,0,0,0,1,0,0,0,1
63,1917092,667,Own,26,Personal,721179,Defaulted,350779,29050,31,On Time,1,0,12,Cash,0,Medium,1,3,High,Average,0,0,0,0,0,0,0,0
57,2692779,612,Own,14,Home,196756,Defaulted,288976,107517,13,Late,1,8,1,UPI,1,Low,4,4,High,Poor,0,0,0,0,0,1,0,0
63,477818,888,Rent,23,Car,937989,Defaulted,386036,125214,39,On Time,1,6,17,Debit Card,1,Low,1,6,Low,Poor,0,0,0,0,0,0,1,0
24,1125812,615,Rent,4,Education,194716,Paid,583,39585,2,On Time,1,8,10,UPI,0,Low,1,2,High,Good,0,0,0,0,0,0,0,0
40,1218645,702,Rent,8,Education,237771,Defaulted,33562,29673,17,Late,0,2,0,Cash,1,High,1,5,Medium,Poor,0,0,0,0,0,0,0,0
61,724864,747,Own,24,Car,646760,Paid,376348,140620,16,Late,1,5,11,UPI,0,High,1,1,Low,Average,0,0,0,0,0,1,1,0
49,2442865,846,Rent,14,Education,745014,Defaulted,411862,79669,2,Late,1,2,14,Credit Card,0,High,1,3,Low,Poor,0,0,0,0,0,0,0,0
28,1469475,425,Rent,26,Personal,564248,Paid,203892,85924,12,Late,0,9,16,UPI,0,Low,3,3,Low,Good,0,0,0,0,0,0,0,0
39,1224199,795,Own,5,Car,111298,Paid,27824,35275,6,Late,0,7,11,Debit Card,1,Medium,2,3,Low,Poor,0,0,0,0,0,0,1,0
39,513051,898,Own,15,Credit Card,755595,Paid,342420,76692,1,On Time,1,7,9,Cash,1,Low,3,6,Low,Poor,0,0,0,0,0,1,0,0
60,634355,344,Own,28,Home,820280,Defaulted,145266,64535,13,Late,1,0,11,Cash,1,High,4,7,Medium,Good,0,0,0,0,1,1,0,0
42,1857189,630,Rent,32,Car,237878,Defaulted,316012,41555,4,On Time,1,6,8,Cash,1,Low,4,7,Medium,Poor,0,0,0,0,0,0,1,0
39,912675,371,Own,17,Personal,909941,Defaulted,128727,13161,11,On Time,0,4,1,Cash,0,Low,3,5,Low,Poor,0,0,0,0,0,0,0,0
45,293435,397,Own,0,Car,151494,Paid,207490,56056,29,Late,1,4,9,Cash,0,Low,4,8,High,Average,0,0,1,0,0,1,1,0
46,763195,570,Own,12,Education,445651,Defaulted,172364,99344,16,Late,0,8,3,Credit Card,0,High,2,9,Medium,Poor,0,0,0,1,0,1,0,1
30,1459368,706,Rent,5,Education,761449,Defaulted,484033,126198,5,Late,0,3,17,Debit Card,0,Medium,2,3,Low,Average,0,0,0,0,0,0,0,0
35,2722115,743,Own,19,Education,678047,Defaulted,175614,31415,32,On Time,1,2,5,Cash,0,Medium,4,3,Medium,Good,0,0,0,0,0,0,0,0
19,1196005,390,Own,33,Education,354858,Paid,411129,41737,39,On Time,0,4,2,Debit Card,1,Low,1,9,Medium,Average,1,0,0,0,0,0,0,0
46,1693932,416,Own,17,Personal,118775,Paid,425317,129527,42,On Time,1,9,5,Credit Card,0,Medium,3,7,High,Good,0,0,0,1,0,1,0,1
38,779224,813,Rent,6,Home,260879,Defaulted,308529,142248,4,On Time,1,5,4,Credit Card,0,High,1,1,High,Average,0,0,0,0,0,0,0,0
32,2689910,342,Own,15,Education,548371,Defaulted,233123,42493,41,Late,0,0,6,Debit Card,0,Low,1,9,Low,Average,1,0,0,0,0,0,0,0
69,208000,370,Own,13,Personal,174380,Defaulted,124287,52987,38,On Time,0,2,1,Cash,1,High,2,7,Low,Good,0,0,1,0,0,1,0,0
44,1247882,443,Rent,13,Personal,619223,Paid,332680,92298,28,Late,1,9,12,Credit Card,0,Low,3,5,Low,Poor,0,0,0,1,0,0,0,1
67,308407,641,Rent,3,Personal,98913,Defaulted,326994,112215,2,On Time,0,0,14,Credit Card,1,Low,2,4,Medium,Good,0,0,0,0,0,0,0,0
48,332157,406,Own,13,Credit Card,512655,Defaulted,298700,121940,36,Late,0,5,7,UPI,1,Low,1,5,Medium,Average,0,0,1,0,0,1,0,0
32,1703855,685,Rent,0,Credit Card,508720,Defaulted,404836,129283,23,Late,0,8,15,UPI,1,Low,2,5,Low,Poor,0,0,0,0,0,0,0,0
68,872982,755,Own,32,Car,753274,Defaulted,451563,82521,36,Late,1,0,10,Debit Card,1,Low,1,8,Medium,Average,0,0,0,0,0,1,1,0
40,1374766,593,Rent,7,Personal,682094,Defaulted,37930,75637,27,On Time,0,5,1,Credit Card,0,High,3,8,Low,Poor,0,0,0,1,0,0,0,1
41,736296,475,Rent,26,Credit Card,893384,Paid,205823,104363,12,On Time,1,9,5,Debit Card,1,Low,4,8,Low,Poor,0,0,0,0,0,0,0,0
61,2113506,406,Rent,32,Credit Card,298039,Defaulted,235078,34593,13,Late,0,8,15,Cash,1,Low,3,3,High,Average,0,0,0,0,0,0,0,0
30,2549996,385,Own,29,Car,524967,Paid,103527,5251,33,On Time,1,6,11,Cash,1,High,4,8,Low,Good,1,0,0,0,0,0,1,0
39,2410044,809,Rent,19,Education,727030,Paid,158794,88704,9,Late,1,5,4,UPI,0,Medium,4,2,High,Good,0,0,0,0,0,0,0,0
60,2960524,526,Own,5,Home,885315,Paid,406234,9884,34,On Time,0,1,4,UPI,1,High,3,4,High,Poor,0,0,0,0,1,0,0,0
54,513269,893,Rent,0,Home,999756,Paid,342768,59392,30,On Time,0,7,13,Cash,1,Medium,3,8,High,Good,0,0,0,0,0,0,0,0
50,1389497,628,Own,8,Personal,491462,Paid,274246,118615,15,On Time,1,9,12,UPI,0,Low,2,7,Low,Average,0,0,0,0,0,1,0,0
20,372444,540,Rent,31,Car,355187,Defaulted,313532,103132,32,On Time,0,6,13,Credit Card,1,High,2,2,Medium,Good,1,0,1,1,0,0,1,1
36,1262343,301,Own,32,Credit Card,391315,Defaulted,64205,104078,4,On Time,1,8,6,Debit Card,0,High,3,1,Medium,Good,0,0,0,0,0,1,0,0
40,2771015,550,Own,17,Personal,271946,Defaulted,328054,147739,21,Late,0,3,5,Credit Card,1,Medium,2,4,Medium,Good,0,0,0,1,0,1,0,1
46,1686162,341,Own,18,Education,465775,Paid,327333,82836,21,Late,0,5,11,Cash,0,Medium,4,9,Medium,Good,0,0,0,0,0,1,0,0
47,2866492,725,Own,32,Home,681028,Defaulted,213817,70020,40,Late,0,8,15,Cash,1,Medium,2,1,Low,Average,0,0,0,0,1,1,0,0
56,1872291,380,Own,4,Personal,638127,Paid,407140,53645,16,Late,0,9,18,UPI,0,Medium,4,6,Low,Average,0,0,0,0,0,1,0,0
61,2952031,787,Rent,11,Credit Card,733252,Defaulted,101525,24166,27,Late,1,1,7,Credit Card,0,Medium,1,7,Medium,Good,0,1,0,1,0,0,0,1
64,1139069,561,Own,0,Education,161417,Paid,487179,148670,30,Late,0,6,8,UPI,0,High,2,9,High,Good,0,0,0,0,0,1,0,0
42,1432812,694,Rent,5,Car,339048,Defaulted,196876,121875,35,Late,1,5,0,Cash,0,Medium,3,1,Medium,Good,0,0,0,0,0,0,0,0
54,562691,547,Rent,16,Home,553593,Paid,162982,121523,24,Late,1,0,18,Debit Card,1,Medium,4,4,Low,Average,0,0,0,0,0,0,0,0
64,268125,629,Rent,7,Home,734207,Paid,118108,141606,39,Late,1,5,13,UPI,1,Medium,4,7,Medium,Average,0,0,0,0,0,0,0,0
25,2798642,847,Rent,4,Home,820484,Defaulted,226954,116837,36,Late,0,0,16,Debit Card,0,Low,3,6,Medium,Poor,1,1,0,0,0,0,0,0
59,2279014,397,Rent,34,Credit Card,224163,Defaulted,448201,21812,32,Late,1,8,16,UPI,1,Low,3,8,Medium,Average,0,0,0,0,0,0,0,0
33,965378,444,Own,27,Personal,166503,Paid,398212,75446,10,Late,1,2,4,Cash,1,High,4,5,Medium,Good,0,0,0,0,0,1,0,0
25,1730011,426,Rent,14,Credit Card,598329,Paid,397499,34872,46,On Time,0,3,13,UPI,1,Medium,4,4,Low,Poor,1,0,0,0,0,0,0,0
18,1271999,603,Own,27,Home,942846,Defaulted,492430,73190,31,Late,0,8,7,UPI,1,Low,1,3,Medium,Average,1,0,0,0,1,1,0,0
61,284693,878,Own,23,Personal,520584,Defaulted,225231,65716,3,Late,1,8,18,UPI,1,Medium,3,2,Low,Good,0,0,0,0,0,1,0,0
22,2512929,678,Rent,25,Credit Card,116283,Defaulted,454178,60011,21,On Time,0,1,12,Cash,1,Low,4,6,Medium,Good,0,0,0,0,0,0,0,0
20,1774570,446,Own,7,Home,647652,Defaulted,463053,10653,1,On Time,0,7,5,Debit Card,0,Medium,1,5,High,Average,0,0,0,0,1,0,0,0
18,1038185,380,Rent,34,Home,57631,Paid,471874,22549,3,Late,0,6,2,UPI,0,High,2,9,High,Average,0,0,0,0,0,0,0,0
21,1604475,541,Own,15,Car,170732,Paid,200025,45743,32,On Time,0,9,11,UPI,1,Low,1,6,Medium,Poor,1,0,0,0,0,0,1,0
57,2076342,876,Own,6,Credit Card,865100,Defaulted,151109,67737,5,On Time,0,5,17,Debit Card,1,Medium,1,1,Low,Good,0,0,0,0,0,1,0,0
52,826889,882,Rent,16,Car,798021,Paid,212985,135013,49,Late,0,7,9,Debit Card,0,Low,1,1,High,Average,0,0,0,0,0,0,1,0
49,1037059,847,Own,34,Personal,351384,Defaulted,438831,148480,35,On Time,1,1,1,Credit Card,1,Low,1,4,High,Good,0,1,0,1,0,1,0,1
59,536725,366,Own,30,Car,735648,Defaulted,376706,91701,29,Late,0,2,19,UPI,1,Low,2,1,Medium,Average,0,0,0,0,0,1,1,0
51,1708719,894,Own,6,Home,156021,Defaulted,397737,44772,15,On Time,1,3,5,UPI,1,Low,2,1,High,Good,0,0,0,0,0,0,0,0
60,2340499,774,Rent,2,Education,984727,Defaulted,358547,137820,17,On Time,0,0,3,Credit Card,1,Medium,4,6,Low,Average,0,0,0,1,0,0,0,1
42,1814085,878,Rent,17,Personal,155841,Paid,23599,60533,23,Late,1,1,1,Cash,0,High,2,4,Medium,Good,0,1,0,0,0,0,0,0
27,1944712,732,Own,26,Credit Card,236240,Paid,15683,80599,29,Late,1,8,13,Cash,1,High,1,4,Low,Good,0,0,0,0,0,1,0,0
38,560347,601,Own,16,Car,84539,Paid,227083,85406,5,On Time,1,1,14,Credit Card,1,Medium,1,9,High,Poor,0,0,0,0,0,1,1,0
63,2837388,674,Rent,31,Credit Card,161491,Paid,355101,40741,20,On Time,0,0,5,Debit Card,1,Low,4,6,Medium,Average,0,0,0,0,0,0,0,0
56,2322270,874,Own,10,Education,624034,Paid,221600,123709,26,On Time,1,0,14,Cash,0,Medium,2,1,High,Poor,0,1,0,0,0,1,0,0
44,1197197,377,Rent,11,Personal,873243,Paid,427080,82348,5,Late,1,7,17,Cash,0,High,1,2,Medium,Good,0,0,0,0,0,0,0,0
44,2423829,329,Rent,11,Home,769649,Paid,291336,86976,29,On Time,0,3,5,Debit Card,0,Low,4,6,Low,Average,0,0,0,0,0,0,0,0
19,1265597,651,Own,11,Car,332055,Paid,325325,5636,12,Late,0,5,9,Cash,1,Low,4,2,High,Good,0,0,0,0,0,0,1,0
58,1715684,414,Rent,19,Car,283647,Paid,490001,72196,5,Late,1,4,4,Credit Card,0,Low,1,7,High,Average,0,0,0,0,0,0,0,0
65,1218613,631,Rent,2,Personal,138021,Defaulted,470037,45972,39,Late,0,9,7,Debit Card,1,Medium,2,4,High,Poor,0,0,0,0,0,0,0,0
30,248215,804,Own,30,Education,685735,Paid,40888,112236,25,On Time,1,5,19,UPI,1,Medium,3,8,High,Poor,0,0,0,0,0,1,0,0
26,463367,453,Rent,4,Personal,322569,Paid,210278,68234,30,On Time,0,9,10,Credit Card,0,Medium,1,1,Medium,Good,0,0,1,1,0,0,0,1
69,290162,834,Own,19,Car,339160,Defaulted,267867,130780,5,On Time,0,9,0,Credit Card,1,Medium,2,7,High,Average,0,0,0,0,0,1,0,0
53,2281256,668,Own,0,Home,80204,Paid,22846,115112,17,Late,0,8,9,Debit Card,0,High,1,9,Medium,Good,0,0,0,0,0,1,0,0
39,1007958,657,Rent,10,Car,866179,Defaulted,241930,30095,2,On Time,0,5,16,UPI,1,Medium,4,5,High,Average,0,0,0,0,0,0,1,0
59,1233438,601,Rent,30,Education,411049,Defaulted,238968,92290,48,On Time,0,4,18,UPI,1,Medium,3,1,Low,Good,0,0,0,0,0,0,0,0
43,1287405,750,Own,23,Credit Card,286491,Defaulted,26959,56391,36,Late,1,6,9,Debit Card,0,Medium,3,6,Medium,Average,0,0,0,0,0,1,0,0
29,1300438,606,Rent,14,Credit Card,357093,Paid,79072,136272,35,Late,0,6,6,Credit Card,0,Low,3,5,Medium,Good,1,0,0,1,0,0,0,1
34,2948488,362,Own,1,Personal,382621,Defaulted,105454,74898,23,Late,1,4,12,Credit Card,1,Low,2,5,High,Poor,0,0,0,1,0,1,0,1
31,613552,575,Own,28,Car,858007,Paid,458218,141308,6,On Time,0,9,19,Credit Card,1,High,2,3,High,Poor,0,0,0,0,0,1,1,0
31,230796,810,Own,21,Education,196907,Defaulted,380989,76878,38,On Time,0,7,14,Debit Card,0,Medium,4,1,High,Average,1,0,0,0,0,1,0,0
51,1789682,834,Own,10,Education,938776,Paid,435643,111813,1,On Time,1,4,6,UPI,1,Medium,2,7,Medium,Poor,0,0,0,0,0,1,0,0
37,1010920,686,Rent,30,Credit Card,640374,Defaulted,109352,10558,35,Late,1,4,13,Credit Card,1,High,4,2,Low,Average,0,0,0,1,0,0,0,1
28,1941888,757,Own,19,Credit Card,918838,Defaulted,138606,118123,3,Late,0,1,7,Cash,1,Medium,4,9,High,Good,0,0,0,0,0,1,0,0
33,2118912,707,Rent,14,Personal,92432,Defaulted,269441,133410,6,On Time,0,9,16,UPI,1,High,3,9,Medium,Poor,0,0,0,0,0,0,0,0
68,654673,685,Own,34,Personal,147919,Paid,296890,12930,37,Late,1,8,5,UPI,1,Low,1,6,High,Good,0,0,0,0,0,0,0,0
48,296931,689,Own,16,Education,595953,Paid,453791,14951,22,Late,0,4,10,Debit Card,0,Low,4,5,Medium,Poor,0,0,0,0,0,0,0,0
23,2982773,528,Own,3,Personal,657385,Defaulted,195653,121041,32,Late,0,8,5,Debit Card,1,Medium,3,6,Medium,Average,1,0,0,0,0,1,0,0
36,2226046,526,Own,30,Home,974420,Defaulted,482664,102818,12,Late,0,5,13,UPI,0,Low,2,6,High,Good,0,0,0,0,1,1,0,0
54,1324096,626,Rent,28,Car,927782,Paid,105939,72543,38,Late,1,1,1,Credit Card,0,Low,3,1,Medium,Good,0,0,0,1,0,0,0,1
21,758549,634,Own,29,Home,162744,Defaulted,299933,143465,33,Late,1,9,15,Debit Card,0,Low,3,7,High,Average,1,0,0,0,0,1,0,0
64,2938807,576,Own,4,Personal,126041,Defaulted,494345,78303,44,On Time,0,4,17,UPI,1,Medium,1,1,Medium,Average,0,0,0,0,0,1,0,0
21,477851,529,Rent,28,Home,555450,Defaulted,122567,92598,48,On Time,1,2,8,Debit Card,0,Medium,3,4,Medium,Poor,1,0,1,0,0,0,0,0
37,2577305,456,Own,19,Personal,922774,Paid,102475,16504,31,Late,0,3,16,Cash,0,Low,3,9,Low,Good,0,0,0,0,0,0,0,0
27,742519,312,Rent,8,Credit Card,144008,Defaulted,278545,18124,2,Late,1,9,1,Cash,1,High,2,9,High,Good,0,0,0,0,0,0,0,0
41,2589121,802,Own,13,Car,752560,Defaulted,15033,26626,4,Late,0,4,19,UPI,1,High,3,7,High,Poor,0,0,0,0,0,0,1,0
52,609141,496,Own,17,Car,135833,Paid,374565,83428,41,Late,0,0,10,Cash,1,High,1,2,High,Good,0,0,0,0,0,1,1,0
43,725604,402,Own,16,Education,553049,Defaulted,235056,125069,34,Late,0,7,18,Debit Card,0,Medium,4,1,High,Poor,0,0,0,0,0,1,0,0
54,2905310,469,Own,16,Personal,488523,Defaulted,7726,131418,5,Late,0,6,18,UPI,0,High,1,9,Low,Average,0,0,0,0,0,1,0,0
55,1345184,408,Own,5,Personal,622895,Defaulted,485703,77226,34,Late,1,1,1,Debit Card,1,Low,2,4,Medium,Good,0,0,0,0,0,1,0,0
38,2692394,675,Own,20,Credit Card,755335,Defaulted,241571,74288,1,Late,1,6,0,Credit Card,1,High,2,4,High,Average,0,0,0,0,0,1,0,0
57,477433,425,Own,9,Credit Card,304593,Paid,99933,122204,13,Late,0,6,4,Credit Card,0,Low,1,7,Medium,Poor,0,0,1,0,0,1,0,1
56,1821750,684,Own,27,Personal,353245,Defaulted,349373,126296,2,Late,0,5,16,Cash,0,High,3,8,Medium,Average,0,0,0,0,0,1,0,0
38,1313596,447,Own,20,Credit Card,428312,Paid,369050,140946,40,Late,0,8,19,Cash,1,Medium,1,5,Medium,Poor,0,0,0,0,0,1,0,0
27,2253785,300,Rent,0,Car,123745,Defaulted,105043,92483,41,On Time,0,3,6,UPI,1,Low,2,3,Medium,Good,1,0,0,0,0,0,1,0
55,568205,851,Own,3,Car,913178,Defaulted,403058,119415,49,On Time,0,2,18,UPI,1,High,1,4,High,Poor,0,0,0,0,0,1,1,0
63,285643,306,Rent,5,Personal,415776,Paid,61573,73635,24,On Time,0,6,4,Credit Card,0,High,2,2,High,Average,0,0,1,1,0,0,0,1
21,1610547,462,Rent,24,Education,222058,Paid,296890,58448,40,On Time,1,1,10,Credit Card,1,Medium,1,2,Low,Poor,1,0,0,1,0,0,0,1
62,2687385,735,Rent,0,Car,463429,Defaulted,361962,23500,35,Late,1,4,18,Cash,1,Low,1,3,Low,Poor,0,0,0,0,0,0,1,0
37,1752816,733,Rent,34,Car,939443,Defaulted,442459,147161,10,On Time,1,1,19,UPI,1,High,4,5,Medium,Average,0,0,0,0,0,0,1,0
34,789488,624,Own,2,Personal,923441,Defaulted,58991,93791,6,Late,0,6,8,Debit Card,1,High,2,4,Medium,Average,0,0,0,0,0,1,0,0
24,2540102,456,Own,23,Car,756997,Paid,447008,47765,26,Late,1,3,18,UPI,0,Medium,4,9,Medium,Poor,0,0,0,0,0,0,1,0
21,1392443,413,Own,22,Car,372769,Defaulted,278905,101684,21,On Time,1,5,1,Debit Card,0,Low,4,1,High,Good,0,0,0,0,0,1,0,0
46,2903976,411,Own,25,Personal,88708,Defaulted,415781,127227,21,On Time,1,5,6,Cash,1,Medium,3,8,Low,Good,0,0,0,0,0,1,0,0
31,2514659,754,Own,4,Car,416184,Defaulted,142801,44528,44,On Time,0,2,0,UPI,0,Low,4,7,Medium,Average,1,1,0,0,0,0,0,0
20,2515335,372,Rent,33,Personal,196304,Defaulted,3420,10226,4,Late,0,1,3,Credit Card,1,High,3,7,Medium,Good,0,0,0,0,0,0,0,0
41,1965449,492,Rent,13,Education,198815,Defaulted,287220,8921,29,On Time,1,1,7,UPI,0,High,4,2,Low,Poor,0,0,0,0,0,0,0,0
54,743293,774,Rent,23,Credit Card,688828,Paid,140329,140773,49,On Time,1,9,19,Debit Card,0,Low,1,1,Medium,Poor,0,0,0,0,0,0,0,0
33,310737,572,Own,32,Personal,451531,Defaulted,193003,77116,22,On Time,0,8,9,Debit Card,1,High,3,6,High,Good,0,0,1,0,0,1,0,0
69,1989032,393,Own,16,Car,599681,Defaulted,88833,55366,3,Late,1,8,18,Credit Card,1,Low,1,8,High,Poor,0,0,0,0,0,1,1,0
21,422316,814,Rent,32,Home,701538,Defaulted,297190,10456,31,Late,0,5,6,UPI,1,Low,3,3,High,Poor,1,0,0,0,0,0,0,0
41,1944188,519,Rent,14,Credit Card,522619,Paid,482027,40992,4,Late,1,5,17,Debit Card,1,Medium,3,5,High,Poor,0,0,0,0,0,0,0,0
51,678706,304,Rent,34,Education,223088,Defaulted,14745,134485,21,Late,1,7,16,Debit Card,1,Low,1,6,Low,Average,0,0,0,0,0,0,0,0
47,2937194,493,Rent,13,Credit Card,305166,Defaulted,307054,16219,46,On Time,1,2,6,UPI,1,High,4,1,Medium,Good,0,0,0,0,0,0,0,0
35,2524395,353,Own,0,Personal,567149,Defaulted,45570,123415,9,Late,1,8,12,UPI,1,Low,4,5,Medium,Good,0,0,0,0,0,1,0,0
36,331777,508,Rent,13,Car,703530,Paid,247099,81975,31,On Time,0,3,14,Cash,0,High,1,6,Medium,Poor,0,0,1,0,0,0,1,0
48,513654,887,Rent,11,Car,881071,Defaulted,106065,87514,37,Late,0,4,19,UPI,0,Medium,2,3,Medium,Average,0,0,0,0,0,0,1,0
36,1032725,796,Rent,34,Education,369004,Defaulted,82933,13780,38,Late,1,9,11,UPI,0,Low,1,2,Medium,Poor,0,1,0,0,0,0,0,0
66,2153230,754,Rent,31,Credit Card,964183,Defaulted,371912,9423,27,On Time,1,3,6,UPI,1,High,1,1,Low,Average,0,1,0,0,0,0,0,0
63,1219620,379,Rent,1,Education,126971,Paid,87475,141385,12,Late,1,7,15,Credit Card,0,High,4,5,Medium,Good,0,0,0,0,0,0,0,1
36,2710520,307,Own,32,Personal,286009,Defaulted,498342,138157,33,On Time,1,3,6,UPI,1,High,2,5,Medium,Poor,0,0,0,0,0,1,0,0
39,1870255,390,Rent,17,Credit Card,483122,Defaulted,448082,120266,22,On Time,0,6,6,UPI,1,Medium,1,1,Medium,Poor,0,0,0,0,0,0,0,0
41,1172634,645,Rent,15,Car,198642,Defaulted,368926,16247,9,Late,0,7,17,Cash,1,High,1,6,High,Poor,0,0,0,0,0,0,1,0
62,1185359,650,Rent,24,Education,943240,Paid,435104,75792,21,On Time,0,7,12,Cash,1,Medium,1,5,Medium,Poor,0,0,0,0,0,0,0,0
29,260216,509,Rent,25,Credit Card,448989,Defaulted,308294,127992,11,On Time,1,0,17,Cash,1,High,3,7,High,Poor,0,0,1,0,0,0,0,0
47,797987,557,Own,4,Home,786932,Defaulted,396288,55748,24,Late,1,3,12,Debit Card,1,Medium,1,4,High,Average,0,0,0,0,1,1,0,0
55,1510929,340,Rent,15,Personal,172981,Paid,203609,108272,42,Late,1,9,18,Cash,0,Medium,1,3,Medium,Average,0,0,0,0,0,0,0,0
48,2695202,603,Rent,15,Credit Card,102711,Paid,444726,75176,6,Late,0,1,13,Credit Card,1,High,4,3,High,Poor,0,0,0,0,0,0,0,0
53,2721880,540,Own,10,Personal,357239,Defaulted,354011,35510,38,Late,0,4,5,Credit Card,1,Medium,3,2,High,Poor,0,0,0,1,0,0,0,1
36,1835349,833,Own,7,Car,274229,Paid,58863,145359,6,Late,1,6,14,UPI,0,High,2,7,High,Poor,0,0,0,0,0,1,1,0
65,2218039,544,Rent,2,Home,995462,Paid,129994,89879,17,On Time,0,1,5,Credit Card,0,Medium,2,7,Low,Poor,0,0,0,1,0,0,0,1
